1004.0,11362050.0,203.28,204.44,202.69,17265520.0,203.35,205.08,202.9,25338630.0,200.81,201.4,198.41,199.2
1017.0,18355210.0,208.46,208.91,207.29,14991570.0,207.67,209.15,207.17,13909560.0,208.89,209.24,206.73,207.48
21.0,52828890.0,115.97,116.5,114.12,38610120.0,114.58,116.25,114.5,54851010.0,116.53,119.99,116.53,117.81
708.0,41976500.0,162.13,167.26,161.84,52228910.0,166.41,169.2,165.27,66454720.0,175.23,177.75,173.8,175.88
1211.0,34320200.0,284.73,289.67,283.89,45765970.0,289.96,294.53,288.35,60154180.0,286.25,299.0,285.85,289.17
472.0,22930630.0,154.0,154.58,152.91,19906170.0,154.9,154.9,153.31,19201820.0,153.84,154.17,152.67,153.73
958.0,22010360.0,204.4,205.97,203.86,45751160.0,203.06,203.4,199.11,64827330.0,209.88,215.31,209.23,209.84
795.0,43177540.0,226.51,228.87,226.0,27363960.0,228.41,229.18,226.63,33290830.0,228.99,229.67,225.1,226.23
1032.0,47539790.0,201.02,212.14,200.83,36547440.0,203.16,206.44,202.59,27883360.0,203.46,205.14,199.67,204.28
1183.0,67964260.0,247.39,252.84,242.61,100423300.0,247.18,251.83,228.0,84188210.0,228.08,228.5,212.61,236.36
677.0,22676520.0,178.5,180.24,178.07,38313330.0,178.65,179.12,177.62,32931110.0,177.32,177.47,173.66,175.24
671.0,31686450.0,174.94,175.85,174.27,24518850.0,175.48,177.12,175.07,32130360.0,177.96,180.0,177.39,180.29
645.0,50565420.0,170.16,170.16,167.07,45635470.0,165.53,167.37,164.7,32234520.0,166.87,168.44,166.5,167.17
88.0,59029400.0,116.9,118.07,116.06,45179400.0,116.37,117.42,115.21,32461350.0,116.26,116.82,115.65,115.2
603.0,20591090.0,175.05,175.08,173.34,26387240.0,174.3,174.87,171.86,41459120.0,172.63,172.92,167.16,170.43
1.0,78291510.0,123.85,124.06,119.22,61292800.0,121.94,123.85,121.21,41365600.0,125.03,125.76,124.32,126.04
621.0,20848660.0,174.17,176.02,174.1,16339690.0,174.68,175.42,174.5,33113340.0,170.8,171.47,169.68,170.1
50.0,63712340.0,115.66,116.49,113.72,73991000.0,112.21,114.3,111.87,46594220.0,113.67,115.37,113.66,113.38
542.0,27215770.0,163.8,163.89,162.61,26729940.0,163.64,164.52,163.48,16564340.0,164.8,164.94,163.63,163.75
882.0,40622910.0,149.56,151.82,148.52,45034370.0,151.29,154.53,149.63,35661200.0,152.5,153.97,150.86,152.88
940.0,22727370.0,191.09,194.46,191.05,23243160.0,193.25,196.5,193.15,19090050.0,194.79,196.37,193.14,196.45
1130.0,33911860.0,296.24,300.6,295.19,36633880.0,297.15,300.58,296.5,29644640.0,293.79,299.96,292.75,299.84
